,VaR,ES
2021-11-18,0.013557412783700618,0.01561193422851964
2021-11-19,0.01489431030782704,0.017143570288718036
2021-11-22,0.014809192356909494,0.017046053672341105
2021-11-23,0.015013899655156624,0.017280579560917317
2021-11-24,0.014535224717908291,0.016732178668723414
2021-11-26,0.014136930255954878,0.016275866835171477
2021-11-29,0.019225759159438905,0.022105957557980668
2021-11-30,0.020532567596729466,0.02360312161895358
2021-12-01,0.02231373940779667,0.02564374696682538
2021-12-02,0.02174563239921244,0.02499288692355645
2021-12-03,0.020990884033331138,0.024128198499277265
2021-12-06,0.020714370998591004,0.023811407326072252
2021-12-07,0.02054902079947705,0.023621971469581005
2021-12-08,0.0240995430387826,0.027689678826440845
2021-12-09,0.023009946078992666,0.026441366248565957
2021-12-10,0.02188082734389396,0.025147774974954438
2021-12-13,0.021857481409485145,0.02512102836621722
2021-12-14,0.021621404578930643,0.024850563517469077
2021-12-15,0.020550772123473,0.0236239778993461
2021-12-16,0.022258133859171043,0.025580041662652733
2021-12-17,0.02434381994655104,0.02796953821271384
2021-12-20,0.022967018369259625,0.026392185494602174
2021-12-21,0.02196517308776006,0.02524440690111048
2021-12-22,0.02293794838448331,0.026358881044448508
2021-12-23,0.022153032279029285,0.025459630511293813
2021-12-27,0.0207360661777579,0.023836262723097686
2021-12-28,0.02130578845928516,0.02448897332726748
2021-12-29,0.019775108940272325,0.022735328110922905
2021-12-30,0.0183627901600102,0.021117284593519893
2021-12-31,0.017264447761217723,0.019858952676468422
2022-01-03,0.01624600707810724,0.018692161320156806
2022-01-04,0.017114851819054894,0.019687565913204228
2022-01-05,0.016811497442015794,0.019340023566459502
2022-01-06,0.021159668652056825,0.024321569048464282
2022-01-07,0.020046254607749277,0.023045970081888956
2022-01-10,0.018966327324303416,0.021808735709120855
2022-01-11,0.01762540277937502,0.02027248603406854
2022-01-12,0.01800297089196106,0.020705052424522218
2022-01-13,0.016852318647732917,0.01938679097351112
2022-01-14,0.018950634270240116,0.021790756733870903
2022-01-18,0.017792601308363565,0.02046403945651827
2022-01-19,0.02021930857570825,0.023244231873015823
2022-01-20,0.02026483104773165,0.023296385354073374
2022-01-21,0.019802285010439274,0.022766462770304804
2022-01-24,0.021737616934727592,0.02498370389028525
2022-01-25,0.020241591582446126,0.02326976072323318
2022-01-26,0.02072744494466261,0.023826385682222204
2022-01-27,0.019335288491184693,0.022231441427255468
2022-01-28,0.01845510623532226,0.0212230478456258
2022-01-31,0.02749491123471438,0.03157963170068084
2022-02-01,0.028770895749883188,0.033041481887713206
2022-02-02,0.026628267790029685,0.030586749054659784
2022-02-03,0.02496922950089556,0.02868604774956305
2022-02-04,0.02810518813675056,0.032278804294687664
2022-02-07,0.026148874116974724,0.03003752473235301
2022-02-08,0.02421582782897889,0.027822902184778373
2022-02-09,0.023264793170822178,0.026733335519687044
2022-02-10,0.023145092659655444,0.02659619889102364
2022-02-11,0.02439331213360803,0.02802623965543968
2022-02-14,0.026157399977974873,0.030047292508802892
2022-02-15,0.024125378822459017,0.027719277967143977
2022-02-16,0.024881928098946002,0.028586029630807697
2022-02-17,0.022975793509007008,0.026402238860868336
2022-02-18,0.025017853030600622,0.028741754002380795
2022-02-22,0.023552392358205533,0.02706282770463812
